task_id,repo,task_type,task_type_confidence,estimated_difficulty,build_success,docker_success,image_available,image_size_mb,image_last_updated,original_test_success,bug_reproducible,external_service_required,private_credential_required,missing_dependency,corrective_bug,fail_to_pass_count,pass_to_pass_count,screening_status,remove_reason,needs_manual_review,screening_notes,screening_stage
pdm-project__pdm-2928,pdm-project/pdm,feature,0.72,Hard,,,1,523.2,2025-04-30T17:10:53.912404Z,,,1,0,,0,2,871,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
bridgecrewio__checkov-7022,bridgecrewio/checkov,bug_repair,0.9,Easy,,,1,664.4,2025-04-30T17:12:15.161547Z,,,0,1,,1,1,3709,remove,static hint: requires private credentials,0,,automatic
matplotlib__matplotlib-29007,matplotlib/matplotlib,bug_repair,0.9,Hard,,,1,1215.8,2025-04-30T17:12:40.2075Z,,,1,0,,1,2,8244,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (8244 tests) -> long runtime,automatic
pylint-dev__pylint-9599,pylint-dev/pylint,bug_repair,0.9,Hard,,,1,487.4,2025-04-30T17:11:29.227463Z,,,1,0,,1,1,1832,keep,,1,static hint: mentions network/external service -> manual review,automatic
deepset-ai__haystack-8940,deepset-ai/haystack,bug_repair,0.8,Hard,,,1,8900.5,2025-04-30T17:25:32.400435Z,,,1,0,,1,1,2211,keep,,1,very large image (8900 MB) -> slow environment; static hint: mentions network/external service -> manual review,automatic
conan-io__conan-16563,conan-io/conan,question,0.9,Medium,,,1,554.6,2025-04-30T17:15:52.471021Z,,,0,0,,0,1,3928,remove,task_type=question (not corrective bug repair),0,,automatic
keras-team__keras-19775,keras-team/keras,bug_repair,0.57,Medium,,,1,1811.4,2025-04-30T17:17:09.597886Z,,,1,0,,1,1,7082,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (7082 tests) -> long runtime,automatic
keras-team__keras-19955,keras-team/keras,bug_repair,0.9,Hard,,,1,2039.3,2025-04-30T17:18:01.574912Z,,,1,0,,1,131,7206,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (7206 tests) -> long runtime; large fail_to_pass set (131 tests),automatic
python-babel__babel-1126,python-babel/babel,bug_repair,0.8,Medium,,,1,499.6,2025-04-30T17:16:12.655733Z,,,1,0,,1,2,7097,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (7097 tests) -> long runtime,automatic
keras-team__keras-19931,keras-team/keras,bug_repair,0.9,Medium,,,1,1829.1,2025-04-30T17:20:13.16343Z,,,1,0,,1,2,7123,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (7123 tests) -> long runtime,automatic
mikedh__trimesh-2136,mikedh/trimesh,bug_repair,0.9,Hard,,,1,955.9,2025-04-30T17:18:10.42509Z,,,1,0,,1,1,599,keep,,1,static hint: mentions network/external service -> manual review,automatic
geopandas__geopandas-3240,geopandas/geopandas,bug_repair,0.79,Easy,,,1,995.9,2025-04-30T17:19:47.610676Z,,,0,0,,1,1,2051,keep,,0,,automatic
fonttools__fonttools-3682,fonttools/fonttools,bug_repair,0.79,Easy,,,1,705.8,2025-04-30T17:19:24.208585Z,,,1,0,,1,1,4421,keep,,1,static hint: mentions network/external service -> manual review,automatic
reata__sqllineage-524,reata/sqllineage,unknown,0.2,Hard,,,1,749.5,2025-04-30T17:22:34.945444Z,,,0,0,,0,4,376,remove,task_type=unknown (not corrective bug repair),1,low task_type confidence -> manual review,automatic
aws-cloudformation__cfn-lint-3915,aws-cloudformation/cfn-lint,bug_repair,0.9,Medium,,,1,752.0,2025-04-30T17:20:44.698904Z,,,1,0,,1,2,1250,keep,,1,static hint: mentions network/external service -> manual review,automatic
conan-io__conan-17964,conan-io/conan,bug_repair,0.9,Easy,,,1,512.4,2025-04-30T17:22:14.766085Z,,,0,0,,1,1,4301,keep,,0,,automatic
joke2k__faker-2007,joke2k/faker,bug_repair,0.8,Easy,,,1,462.9,2025-04-30T17:21:09.807771Z,,,0,0,,1,1,1901,keep,,0,,automatic
ag2ai__faststream-1589,ag2ai/faststream,feature,0.85,Medium,,,1,952.1,2025-04-30T17:22:06.86971Z,,,0,0,,0,1,71,remove,task_type=feature (not corrective bug repair),0,,automatic
pytorch__torchtune-1832,pytorch/torchtune,bug_repair,0.85,Medium,,,1,6745.7,2025-04-30T17:32:33.757537Z,,,1,0,,1,1,562,keep,,1,static hint: mentions network/external service -> manual review,automatic
matplotlib__matplotlib-29388,matplotlib/matplotlib,bug_repair,0.9,Medium,,,1,1216.8,2025-04-30T17:24:26.161643Z,,,0,0,,1,1,8297,keep,,1,very large pass_to_pass suite (8297 tests) -> long runtime,automatic
beeware__briefcase-1751,beeware/briefcase,unknown,0.2,Hard,,,1,464.9,2025-04-30T17:23:38.896774Z,,,1,0,,0,29,2736,remove,task_type=unknown (not corrective bug repair),1,low task_type confidence -> manual review; static hint: mentions network/external service -> manual review,automatic
pylint-dev__pylint-10097,pylint-dev/pylint,bug_repair,0.9,Medium,,,1,462.1,2025-04-30T17:24:35.644907Z,,,0,0,,1,1,1865,keep,,0,,automatic
instructlab__instructlab-2526,instructlab/instructlab,bug_repair,0.85,Easy,,,1,6842.0,2025-04-30T17:35:00.084608Z,,,1,0,,1,1,192,keep,,1,static hint: mentions network/external service -> manual review,automatic
pylint-dev__pylint-9419,pylint-dev/pylint,feature,0.54,Hard,,,1,486.9,2025-04-30T17:24:59.481889Z,,,1,0,,0,2,1822,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
shapely__shapely-2223,shapely/shapely,bug_repair,0.8,Medium,,,1,451.2,2025-04-30T17:25:21.640204Z,,,1,0,,1,5,5450,keep,,1,static hint: mentions network/external service -> manual review,automatic
sphinx-doc__sphinx-12344,sphinx-doc/sphinx,bug_repair,0.8,Medium,,,1,604.5,2025-04-30T17:25:59.399007Z,,,1,0,,1,2,1988,keep,,1,static hint: mentions network/external service -> manual review,automatic
aws-cloudformation__cfn-lint-3629,aws-cloudformation/cfn-lint,bug_repair,0.57,Medium,,,1,755.6,2025-04-30T17:26:28.624332Z,,,0,0,,1,1,1170,keep,,0,,automatic
reflex-dev__reflex-4129,reflex-dev/reflex,bug_repair,0.85,Hard,,,1,996.9,2025-04-30T17:28:12.372411Z,,,0,0,,1,1,2624,keep,,0,,automatic
aws-cloudformation__cfn-lint-3386,aws-cloudformation/cfn-lint,bug_repair,0.9,Hard,,,1,748.1,2025-04-30T17:27:31.196052Z,,,0,0,,1,3,980,keep,,0,,automatic
conan-io__conan-15573,conan-io/conan,feature,0.9,Medium,,,1,499.1,2025-04-30T17:30:18.671137Z,,,0,0,,0,8,3590,remove,task_type=feature (not corrective bug repair),0,,automatic
geopandas__geopandas-3224,geopandas/geopandas,feature,0.85,Hard,,,1,971.0,2025-04-30T17:30:06.102422Z,,,1,0,,0,1,2033,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
python-babel__babel-1132,python-babel/babel,bug_repair,0.8,Easy,,,1,499.6,2025-04-30T17:29:42.689966Z,,,0,0,,1,4,7089,keep,,1,very large pass_to_pass suite (7089 tests) -> long runtime,automatic
stanfordnlp__dspy-848,stanfordnlp/dspy,bug_repair,0.9,Easy,,,1,9532.3,2025-04-30T17:44:03.430772Z,,,0,0,,1,1,152,keep,,1,very large image (9532 MB) -> slow environment,automatic
matplotlib__matplotlib-28437,matplotlib/matplotlib,bug_repair,0.9,Medium,,,1,1245.4,2025-04-30T17:32:01.469256Z,,,1,0,,1,2,8333,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (8333 tests) -> long runtime,automatic
pylint-dev__pylint-9917,pylint-dev/pylint,bug_repair,0.57,Medium,,,1,467.1,2025-04-30T17:31:47.037463Z,,,0,0,,1,1,1860,keep,,0,,automatic
deepset-ai__haystack-6889,deepset-ai/haystack,bug_repair,0.8,Easy,,,1,7475.0,2025-04-30T17:44:05.131883Z,,,1,0,,1,3,934,keep,,1,static hint: mentions network/external service -> manual review,automatic
huggingface__smolagents-731,huggingface/smolagents,bug_repair,0.9,Easy,,,1,9247.6,2025-04-30T17:47:16.39338Z,,,1,0,,1,3,263,keep,,1,very large image (9248 MB) -> slow environment; static hint: mentions network/external service -> manual review,automatic
privacyidea__privacyidea-4159,privacyidea/privacyidea,unknown,0.2,Easy,,,1,574.8,2025-04-30T17:34:20.309442Z,,,0,0,,0,1,1738,remove,task_type=unknown (not corrective bug repair),1,low task_type confidence -> manual review,automatic
sissbruecker__linkding-687,sissbruecker/linkding,bug_repair,0.9,Easy,,,1,680.4,2025-04-30T17:35:33.646808Z,,,1,0,,1,1,679,keep,,1,static hint: mentions network/external service -> manual review,automatic
beeware__briefcase-1867,beeware/briefcase,feature,0.9,Hard,,,1,465.1,2025-04-30T17:35:53.766352Z,,,0,0,,0,1,2875,remove,task_type=feature (not corrective bug repair),0,,automatic
conan-io__conan-17851,conan-io/conan,bug_repair,0.9,Easy,,,1,508.5,2025-04-30T17:37:48.02706Z,,,1,0,,1,1,4276,keep,,1,static hint: mentions network/external service -> manual review,automatic
conan-io__conan-17123,conan-io/conan,feature,0.9,Medium,,,1,596.6,2025-04-30T17:41:43.020322Z,,,1,0,,0,2,4038,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
kedro-org__kedro-4408,kedro-org/kedro,bug_repair,0.8,Medium,,,1,1038.0,2025-04-30T17:41:02.663132Z,,,1,0,,1,1,1564,keep,,1,static hint: mentions network/external service -> manual review,automatic
instructlab__instructlab-1102,instructlab/instructlab,bug_repair,0.85,Hard,,,1,6488.6,2025-04-30T17:52:21.328577Z,,,0,0,,1,1,53,keep,,0,,automatic
beetbox__beets-5437,beetbox/beets,bug_repair,0.57,Medium,,,1,888.2,2025-04-30T17:43:41.817227Z,,,0,0,,1,1,1713,keep,,0,,automatic
fonttools__fonttools-3749,fonttools/fonttools,bug_repair,0.57,Hard,,,1,763.4,2025-04-30T17:45:06.634183Z,,,0,0,,1,2,4346,keep,,0,,automatic
dynaconf__dynaconf-1249,dynaconf/dynaconf,feature,0.9,Hard,,,1,629.9,2025-04-30T17:45:10.479632Z,,,0,0,,0,1,549,remove,task_type=feature (not corrective bug repair),0,,automatic
python-attrs__attrs-1319,python-attrs/attrs,bug_repair,0.85,Medium,,,1,464.0,2025-04-30T17:45:09.362793Z,,,0,0,,1,2,1405,keep,,0,,automatic
psf__requests-6644,psf/requests,bug_repair,0.9,Easy,,,1,479.6,2025-04-30T17:46:00.169068Z,,,1,0,,1,1,576,keep,,1,static hint: mentions network/external service -> manual review,automatic
joke2k__faker-2173,joke2k/faker,build,0.53,Medium,,,1,459.7,2025-04-30T17:46:28.589311Z,,,0,0,,0,1,2088,remove,task_type=build (not corrective bug repair),0,,automatic
instructlab__instructlab-2316,instructlab/instructlab,unknown,0.2,Hard,,,1,9987.4,2025-04-30T18:02:21.190939Z,,,0,0,,0,4,186,remove,task_type=unknown (not corrective bug repair),1,low task_type confidence -> manual review; very large image (9987 MB) -> slow environment,automatic
conan-io__conan-15699,conan-io/conan,bug_repair,0.9,Easy,,,1,605.4,2025-04-30T17:55:03.820263Z,,,1,0,,1,1,3627,keep,,1,static hint: mentions network/external service -> manual review,automatic
matplotlib__matplotlib-27692,matplotlib/matplotlib,feature,0.54,Hard,,,1,1066.5,2025-04-30T17:47:39.927212Z,,,0,0,,0,1,7784,remove,task_type=feature (not corrective bug repair),1,very large pass_to_pass suite (7784 tests) -> long runtime,automatic
matplotlib__matplotlib-29873,matplotlib/matplotlib,bug_repair,0.85,Easy,,,1,1260.3,2025-04-30T17:49:40.105407Z,,,0,0,,1,1,8373,keep,,1,very large pass_to_pass suite (8373 tests) -> long runtime,automatic
pylint-dev__pylint-9705,pylint-dev/pylint,bug_repair,0.85,Medium,,,1,487.4,2025-04-30T17:48:52.212422Z,,,1,0,,1,1,1843,keep,,1,static hint: mentions network/external service -> manual review,automatic
yt-dlp__yt-dlp-11425,yt-dlp/yt-dlp,bug_repair,0.9,Medium,,,1,463.4,2025-04-30T17:49:41.230288Z,,,1,1,,1,2,624,remove,static hint: requires private credentials,1,static hint: mentions network/external service -> manual review,automatic
olofk__fusesoc-720,olofk/fusesoc,bug_repair,0.9,Medium,,,1,458.1,2025-04-30T17:50:20.560873Z,,,1,0,,1,1,63,keep,,1,static hint: mentions network/external service -> manual review,automatic
aws-cloudformation__cfn-lint-3501,aws-cloudformation/cfn-lint,bug_repair,0.9,Medium,,,1,746.4,2025-04-30T17:51:20.629792Z,,,0,1,,1,1,1013,remove,static hint: requires private credentials,0,,automatic
pdm-project__pdm-2830,pdm-project/pdm,bug_repair,0.8,Medium,,,1,545.9,2025-04-30T17:53:17.353134Z,,,0,0,,1,1,846,keep,,0,,automatic
keras-team__keras-19903,keras-team/keras,unknown,0.2,Hard,,,1,1823.4,2025-04-30T17:55:02.126215Z,,,0,0,,0,3,7107,remove,task_type=unknown (not corrective bug repair),1,low task_type confidence -> manual review; very large pass_to_pass suite (7107 tests) -> long runtime,automatic
beeware__briefcase-2239,beeware/briefcase,build,0.56,Hard,,,1,445.5,2025-04-30T17:52:31.202713Z,,,0,0,,0,15,3088,remove,task_type=build (not corrective bug repair),0,,automatic
geopandas__geopandas-3471,geopandas/geopandas,bug_repair,0.85,Medium,,,1,956.5,2025-04-30T17:55:18.461843Z,,,0,0,,1,7,2227,keep,,0,,automatic
run-llama__llama_deploy-458,run-llama/llama_deploy,bug_repair,0.85,Hard,,,1,704.1,2025-04-30T17:54:45.491297Z,,,0,0,,1,13,176,keep,,0,,automatic
geopandas__geopandas-3502,geopandas/geopandas,bug_repair,0.85,Medium,,,1,1019.2,2025-04-30T17:57:17.342849Z,,,1,0,,1,1,2356,keep,,1,static hint: mentions network/external service -> manual review,automatic
python-telegram-bot__python-telegram-bot-4617,python-telegram-bot/python-telegram-bot,unknown,0.2,Hard,,,1,484.9,2025-04-30T17:55:52.776684Z,,,1,0,,0,1,6236,remove,task_type=unknown (not corrective bug repair),1,low task_type confidence -> manual review; static hint: mentions network/external service -> manual review; very large pass_to_pass suite (6236 tests) -> long runtime,automatic
deepset-ai__haystack-8525,deepset-ai/haystack,feature,0.9,Medium,,,1,5312.5,2025-04-30T18:06:11.88821Z,,,1,0,,0,2,1595,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
pypa__twine-1112,pypa/twine,bug_repair,0.8,Medium,,,1,445.1,2025-04-30T17:56:02.019605Z,,,1,0,,1,1,196,keep,,1,static hint: mentions network/external service -> manual review,automatic
stanfordnlp__dspy-1741,stanfordnlp/dspy,bug_repair,0.57,Medium,,,1,10111.0,2025-04-30T18:11:39.903946Z,,,0,0,,1,2,279,keep,,1,very large image (10111 MB) -> slow environment,automatic
freeopcua__opcua-asyncio-1578,FreeOpcUa/opcua-asyncio,question,0.6,Easy,,,1,444.7,2025-04-30T17:57:20.342405Z,,,1,0,,0,1,687,remove,task_type=question (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
tox-dev__tox-3388,tox-dev/tox,build,0.9,Hard,,,1,484.2,2025-04-30T17:57:49.403574Z,,,1,0,,0,5,1640,remove,task_type=build (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
keras-team__keras-19385,keras-team/keras,bug_repair,0.8,Hard,,,1,1773.1,2025-04-30T18:01:45.778077Z,,,1,1,,1,64,6863,remove,static hint: requires private credentials,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (6863 tests) -> long runtime; large fail_to_pass set (64 tests),automatic
huggingface__datasets-7353,huggingface/datasets,bug_repair,0.8,Medium,,,1,9915.3,2025-04-30T18:15:04.946373Z,,,1,0,,1,10,3030,keep,,1,very large image (9915 MB) -> slow environment; static hint: mentions network/external service -> manual review,automatic
stanfordnlp__dspy-1651,stanfordnlp/dspy,bug_repair,0.8,Easy,,,1,15841.3,2025-04-30T18:28:07.334024Z,,,1,0,,1,1,260,keep,,1,very large image (15841 MB) -> slow environment; static hint: mentions network/external service -> manual review,automatic
streamlink__streamlink-5782,streamlink/streamlink,feature,0.54,Hard,,,1,531.8,2025-04-30T18:03:55.948664Z,,,1,0,,0,1,6024,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (6024 tests) -> long runtime,automatic
conan-io__conan-16126,conan-io/conan,bug_repair,0.9,Easy,,,1,538.7,2025-04-30T18:06:40.427353Z,,,1,1,,1,1,3776,remove,static hint: requires private credentials,1,static hint: mentions network/external service -> manual review,automatic
deepset-ai__haystack-7042,deepset-ai/haystack,feature,0.82,Medium,,,1,7479.7,2025-04-30T18:20:27.146885Z,,,0,0,,0,3,1018,remove,task_type=feature (not corrective bug repair),0,,automatic
matplotlib__matplotlib-29285,matplotlib/matplotlib,bug_repair,0.9,Easy,,,1,1215.1,2025-04-30T18:08:31.198955Z,,,0,0,,1,1,8278,keep,,1,very large pass_to_pass suite (8278 tests) -> long runtime,automatic
joke2k__faker-2099,joke2k/faker,bug_repair,0.8,Hard,,,1,460.5,2025-04-30T18:09:37.723349Z,,,1,0,,1,6,1981,keep,,1,static hint: mentions network/external service -> manual review,automatic
patroni__patroni-3148,patroni/patroni,bug_repair,0.9,Hard,,,1,470.8,2025-04-30T18:10:31.171364Z,,,1,0,,1,3,641,keep,,1,static hint: mentions network/external service -> manual review,automatic
sphinx-doc__sphinx-11879,sphinx-doc/sphinx,feature,0.9,Medium,,,1,594.8,2025-04-30T18:11:52.028969Z,,,1,0,,0,1,1996,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
aws-cloudformation__cfn-lint-3346,aws-cloudformation/cfn-lint,bug_repair,0.64,Easy,,,1,733.4,2025-04-30T18:12:49.776395Z,,,1,0,,1,1,973,keep,,1,static hint: mentions network/external service -> manual review,automatic
patroni__patroni-3318,patroni/patroni,bug_repair,0.9,Medium,,,1,473.4,2025-04-30T18:12:54.09749Z,,,1,0,,1,1,654,keep,,1,static hint: mentions network/external service -> manual review,automatic
matplotlib__matplotlib-27906,matplotlib/matplotlib,bug_repair,0.9,Easy,,,1,1229.0,2025-04-30T18:14:42.536684Z,,,1,0,,1,1,7848,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (7848 tests) -> long runtime,automatic
python-telegram-bot__python-telegram-bot-4323,python-telegram-bot/python-telegram-bot,feature,0.9,Hard,,,1,483.8,2025-04-30T18:14:02.921125Z,,,0,0,,0,1,5935,remove,task_type=feature (not corrective bug repair),0,,automatic
aws-cloudformation__cfn-lint-3663,aws-cloudformation/cfn-lint,bug_repair,0.9,Medium,,,1,749.0,2025-04-30T18:15:13.220217Z,,,1,0,,1,2,1184,keep,,1,static hint: mentions network/external service -> manual review,automatic
geopandas__geopandas-3226,geopandas/geopandas,feature,0.85,Medium,,,1,972.6,2025-04-30T18:17:24.839745Z,,,1,0,,0,4,2034,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
deepset-ai__haystack-8993,deepset-ai/haystack,bug_repair,0.9,Hard,,,1,5324.2,2025-04-30T18:25:35.270341Z,,,1,0,,1,11,2283,keep,,1,static hint: mentions network/external service -> manual review,automatic
patroni__patroni-2998,patroni/patroni,bug_repair,0.9,Medium,,,1,470.0,2025-04-30T18:17:03.927599Z,,,1,0,,1,1,576,keep,,1,static hint: mentions network/external service -> manual review,automatic
sphinx-doc__sphinx-11989,sphinx-doc/sphinx,feature,0.9,Hard,,,1,594.6,2025-04-30T18:18:40.452312Z,,,1,0,,0,3,1990,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
conan-io__conan-16170,conan-io/conan,question,0.9,Easy,,,1,538.9,2025-04-30T18:19:37.470026Z,,,0,0,,0,1,3805,remove,task_type=question (not corrective bug repair),0,,automatic
reflex-dev__reflex-3842,reflex-dev/reflex,bug_repair,0.8,Medium,,,1,793.6,2025-04-30T18:19:59.039974Z,,,1,0,,1,2,2770,keep,,1,static hint: mentions network/external service -> manual review,automatic
sphinx-doc__sphinx-12975,sphinx-doc/sphinx,bug_repair,0.8,Hard,,,1,603.2,2025-04-30T18:20:35.254651Z,,,1,0,,1,10,2133,keep,,1,static hint: mentions network/external service -> manual review,automatic
pydata__xarray-9974,pydata/xarray,bug_repair,0.9,Medium,,,1,689.3,2025-04-30T18:20:58.609118Z,,,1,0,,1,1,6210,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (6210 tests) -> long runtime,automatic
bridgecrewio__checkov-7097,bridgecrewio/checkov,bug_repair,0.9,Medium,,,1,735.8,2025-04-30T18:22:06.911099Z,,,0,1,,1,1,4768,remove,static hint: requires private credentials,0,,automatic
mikedh__trimesh-2152,mikedh/trimesh,bug_repair,0.9,Hard,,,1,956.0,2025-04-30T18:22:55.954915Z,,,1,0,,1,1,600,keep,,1,static hint: mentions network/external service -> manual review,automatic
keras-team__keras-19773,keras-team/keras,bug_repair,0.9,Easy,,,1,1811.4,2025-04-30T18:25:55.950381Z,,,1,0,,1,1,7083,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (7083 tests) -> long runtime,automatic
joke2k__faker-2203,joke2k/faker,bug_repair,0.66,Hard,,,1,417.9,2025-04-30T18:23:01.896818Z,,,0,0,,1,1,2089,keep,,0,,automatic
matplotlib__matplotlib-27848,matplotlib/matplotlib,bug_repair,0.9,Easy,,,1,1228.2,2025-04-30T18:25:10.159585Z,,,1,0,,1,2,7833,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (7833 tests) -> long runtime,automatic
streamlink__streamlink-5908,streamlink/streamlink,bug_repair,0.9,Easy,,,1,555.9,2025-04-30T18:25:05.571733Z,,,1,0,,1,1,6141,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (6141 tests) -> long runtime,automatic
