task_id,repo,split,base_commit,gold_commit,gold_commit_count,commit_urls,pull_number,pull_url,gold_patch_file,gold_files_changed,gold_loc_added,gold_loc_deleted,gold_modules_changed
joke2k__faker-2007,joke2k/faker,pilot,250fa19baf01aa2289afe44b07225f785cf536c5,232470ac80622e275147c079f7fc24751777dd25,1,https://github.com/joke2k/faker/commit/232470ac80622e275147c079f7fc24751777dd25,2007,https://github.com/joke2k/faker/pull/2007,gold/patches/joke2k__faker-2007.patch,1,10,0,1
shapely__shapely-2223,shapely/shapely,discovery,d602a4a33ed33d5c9dd02d7e0777055674dd549f,fbc4fe4b71dd8112d521e43263c277f197120eed,5,https://github.com/shapely/shapely/commit/835f1484ced16180831d30340876aed60d0468dd https://github.com/shapely/shapely/commit/e18018d98badf0996c150be658dcf3eb439eb5f8 https://github.com/shapely/shapely/commit/aad221b3187acfd2e3d02f2e5477a493b27ee2d7 https://github.com/shapely/shapely/commit/3ce15c40fd018dda0cd9f93d37e51682088defeb https://github.com/shapely/shapely/commit/fbc4fe4b71dd8112d521e43263c277f197120eed,2223,https://github.com/shapely/shapely/pull/2223,gold/patches/shapely__shapely-2223.patch,1,16,6,1
reflex-dev__reflex-4129,reflex-dev/reflex,held_out,5e3cfecdeab4182e4a405e94fb2d78f7b70eb16a,d74ddc39142501d41222f856411822e3384f0614,3,https://github.com/reflex-dev/reflex/commit/9b999e2511009413b3f416f5f6de3d84e771228b https://github.com/reflex-dev/reflex/commit/3e0c31cfd6e4e3860eb447d9ba12a9d4567e896f https://github.com/reflex-dev/reflex/commit/d74ddc39142501d41222f856411822e3384f0614,4129,https://github.com/reflex-dev/reflex/pull/4129,gold/patches/reflex-dev__reflex-4129.patch,3,56,5,1
aws-cloudformation__cfn-lint-3386,aws-cloudformation/cfn-lint,discovery,3dfb0e43eb1eafd09b959ae22607af3d5c7814e6,549c9830a6e9f3a9dc21be4a665ce2694ebaf547,3,https://github.com/aws-cloudformation/cfn-lint/commit/27abcec4b2b81aaa6f8e0eea8aeac64d28b0d2ef https://github.com/aws-cloudformation/cfn-lint/commit/9b04dd08198b2270d34797613a5c503eeab66027 https://github.com/aws-cloudformation/cfn-lint/commit/549c9830a6e9f3a9dc21be4a665ce2694ebaf547,3386,https://github.com/aws-cloudformation/cfn-lint/pull/3386,gold/patches/aws-cloudformation__cfn-lint-3386.patch,4,15,5,1
python-babel__babel-1132,python-babel/babel,discovery,f91754b01cb9f32b83aeaa80b74ed10b5dfccb6a,efea1fe40fffb72344c2e6cecfe155201bb92552,2,https://github.com/python-babel/babel/commit/835ba638dce5b5b9bce3127a349597596582ff30 https://github.com/python-babel/babel/commit/efea1fe40fffb72344c2e6cecfe155201bb92552,1132,https://github.com/python-babel/babel/pull/1132,gold/patches/python-babel__babel-1132.patch,1,1,1,1
stanfordnlp__dspy-848,stanfordnlp/dspy,discovery,81c2f579d50057d51351c259796e07958efdd9d1,576eab85eaf35d2a53dcab8b56e93073fe1ad786,2,https://github.com/stanfordnlp/dspy/commit/4d8178f3dced4e8412e0a0a3eb5fa88b7f4bfc5b https://github.com/stanfordnlp/dspy/commit/576eab85eaf35d2a53dcab8b56e93073fe1ad786,848,https://github.com/stanfordnlp/dspy/pull/848,gold/patches/stanfordnlp__dspy-848.patch,1,3,6,1
deepset-ai__haystack-6889,deepset-ai/haystack,discovery,27d0b28d066dff159e2567a87d02acd35c35c778,edf72787e8407f0cc796bf6e0587000b8de59c5b,5,https://github.com/deepset-ai/haystack/commit/54629b02915de57c3cb2f3bf7ca5f24a3d70b0d6 https://github.com/deepset-ai/haystack/commit/a38b61f0b4c5ec913506609cfa0c17dd39819d94 https://github.com/deepset-ai/haystack/commit/86ec27791e572c344e08a3941f13adc7014b78f5 https://github.com/deepset-ai/haystack/commit/476f0d1a4f04bf7a8755693043b89b6df401d133 https://github.com/deepset-ai/haystack/commit/edf72787e8407f0cc796bf6e0587000b8de59c5b,6889,https://github.com/deepset-ai/haystack/pull/6889,gold/patches/deepset-ai__haystack-6889.patch,1,7,2,1
sissbruecker__linkding-687,sissbruecker/linkding,discovery,d5a83722de3473ce367c2209f9145c59797d48fd,2ae6b8b97dea2133427f7aed18286f1eaaa11184,1,https://github.com/sissbruecker/linkding/commit/2ae6b8b97dea2133427f7aed18286f1eaaa11184,687,https://github.com/sissbruecker/linkding/pull/687,gold/patches/sissbruecker__linkding-687.patch,1,10,0,1
fonttools__fonttools-3749,fonttools/fonttools,discovery,46cb2d078adebb0830d054052c1a489e699583b0,6bc5d7f887b9d69407d93f83f5cbeba2146041b0,1,https://github.com/fonttools/fonttools/commit/6bc5d7f887b9d69407d93f83f5cbeba2146041b0,3749,https://github.com/fonttools/fonttools/pull/3749,gold/patches/fonttools__fonttools-3749.patch,3,81,1,2
stanfordnlp__dspy-1741,stanfordnlp/dspy,discovery,9391c2a9b386cbbbe27d18206790a40c27503348,79381d773904607af0259e395648b4ed0a2fa71a,1,https://github.com/stanfordnlp/dspy/commit/79381d773904607af0259e395648b4ed0a2fa71a,1741,https://github.com/stanfordnlp/dspy/pull/1741,gold/patches/stanfordnlp__dspy-1741.patch,1,23,7,1
patroni__patroni-3148,patroni/patroni,held_out,2f800173a5e4cedfe99a6d6ad367057bfcc96d2b,66f451cca1ee02418aa4fa5e06797ed9fc7a6a6f,3,https://github.com/patroni/patroni/commit/6c842f3ccd6132980204d370d23fafe48a8fb805 https://github.com/patroni/patroni/commit/5a65b2ec2b37571d8b806a9d1de705da0818dd26 https://github.com/patroni/patroni/commit/66f451cca1ee02418aa4fa5e06797ed9fc7a6a6f,3148,https://github.com/patroni/patroni/pull/3148,gold/patches/patroni__patroni-3148.patch,5,90,17,2
patroni__patroni-2998,patroni/patroni,held_out,8acefefc4238b9d32cda2e8670ba53e212837c7c,87dcd077bc40d3b26232856a0c634f029c59ed19,2,https://github.com/patroni/patroni/commit/c01c9d495cb67d79ad922e1592dcd0cd363e5031 https://github.com/patroni/patroni/commit/87dcd077bc40d3b26232856a0c634f029c59ed19,2998,https://github.com/patroni/patroni/pull/2998,gold/patches/patroni__patroni-2998.patch,1,15,3,1
pydata__xarray-9974,pydata/xarray,held_out,609412d8544217247ddf2f72f988da1b38ef01bc,2459ffce9e4eec121b926c27deb73cba6945663e,4,https://github.com/pydata/xarray/commit/16b85da4806a7b4f5e70b1897d8251eed2e118cd https://github.com/pydata/xarray/commit/67cdd22bbbd4f86102ce4d66d0a351bbdd619004 https://github.com/pydata/xarray/commit/bf9699a432561fa5cc5e4845c9614470a17a0d45 https://github.com/pydata/xarray/commit/2459ffce9e4eec121b926c27deb73cba6945663e,9974,https://github.com/pydata/xarray/pull/9974,gold/patches/pydata__xarray-9974.patch,2,3,1,2
mikedh__trimesh-2152,mikedh/trimesh,held_out,11cd6f885a0c1980c6b094dba1f5cb5b321021c3,c1a0c6b8f40f65b57c0c90e3270016471ad3b90a,21,https://github.com/mikedh/trimesh/commit/44e3244c662a3d346cb254e48229ff4fa628b189 https://github.com/mikedh/trimesh/commit/27e95548c896aa1e997433dc32cc75222b5a345e https://github.com/mikedh/trimesh/commit/9f3f89f9e9053bc8717fbcfa1be9a6415d54d68e https://github.com/mikedh/trimesh/commit/d520620edaec3e6723de8e0e1bcea5fa9b12fd54 https://github.com/mikedh/trimesh/commit/f25711e26e663e8051c20bf0bd813d469f19f3da https://github.com/mikedh/trimesh/commit/9ad4c1355f074d8944d4e5f72ff99bc399fc3126 https://github.com/mikedh/trimesh/commit/759f321c30df37b43b878ecd078f12c2de5ffbd2 https://github.com/mikedh/trimesh/commit/72ad88d323dba10a4d126b6842a370b63240b2f9 https://github.com/mikedh/trimesh/commit/082e075ae367f7ce1b967586e1d2213b57347506 https://github.com/mikedh/trimesh/commit/2988e2f224d977cd791387abc0ec12446a720c2f https://github.com/mikedh/trimesh/commit/ff8f6e71bcd8d745afda614598df04ce28f49929 https://github.com/mikedh/trimesh/commit/f2da65037610fa7ae32f43b368509f547260adf8 https://github.com/mikedh/trimesh/commit/83d8d1ae9d329e5c5958e2e374f5c0462104669c https://github.com/mikedh/trimesh/commit/4f14bd7670c18dce3e71d69bfc9b80a7926b4bed https://github.com/mikedh/trimesh/commit/8c3cf07907ab4b0c8c0696fce7ae5503dbe54c92 https://github.com/mikedh/trimesh/commit/d96b9a5b99a183ea189e8d0e7f5199b8ac7bb2df https://github.com/mikedh/trimesh/commit/12810aad5ffbf8fb71604755f1ba816182e90a43 https://github.com/mikedh/trimesh/commit/d31d05f676f967a1652d32bd4a94b1decd6e7e94 https://github.com/mikedh/trimesh/commit/caa5ebfba22439b6db38b51624190739266357b1 https://github.com/mikedh/trimesh/commit/18b5ad4b8b5d8016ea0eb967b22814839ee136ee https://github.com/mikedh/trimesh/commit/c1a0c6b8f40f65b57c0c90e3270016471ad3b90a,2152,https://github.com/mikedh/trimesh/pull/2152,gold/patches/mikedh__trimesh-2152.patch,11,85,57,3
instructlab__instructlab-1576,instructlab/instructlab,discovery,4ee8677e9461e753e6d1d4afe5c5a5d48a1910db,9e6571788fa88f44c031d7bd2a62613f068501d7,1,https://github.com/instructlab/instructlab/commit/9e6571788fa88f44c031d7bd2a62613f068501d7,1576,https://github.com/instructlab/instructlab/pull/1576,gold/patches/instructlab__instructlab-1576.patch,1,40,14,1
qtile__qtile-5154,qtile/qtile,discovery,fecc37d8b99b8fa20c9e925660fa25c3157c206c,1670aa8100889ab126e2994168769d1a5be136e7,1,https://github.com/qtile/qtile/commit/1670aa8100889ab126e2994168769d1a5be136e7,5154,https://github.com/qtile/qtile/pull/5154,gold/patches/qtile__qtile-5154.patch,2,4,2,2
mikedh__trimesh-2205,mikedh/trimesh,held_out,e1979b933e5b247792c298d2bccb29014aea27d5,73bed1f683201c1b99ccd770f2138b9fcc9df010,28,https://github.com/mikedh/trimesh/commit/1a3c20b6307cbbdbbf14c5bce3a3cf94acf85537 https://github.com/mikedh/trimesh/commit/6266623cbcc24cef2df04f2198bb31d9489e83ff https://github.com/mikedh/trimesh/commit/17ded387084a86ef249a67e9b1d133f30e7079e2 https://github.com/mikedh/trimesh/commit/04c1b3f336f25c63c18777d125f391a14d797918 https://github.com/mikedh/trimesh/commit/44f53dd03a5adb92f9ba35957f47c5b4717546d9 https://github.com/mikedh/trimesh/commit/c4df9a22614e4ca471e9f85decfce974fe644881 https://github.com/mikedh/trimesh/commit/9300a2bf83bc72057ef0d240a3ba996da3982b93 https://github.com/mikedh/trimesh/commit/a9e90610ce31c96cb48f7cb8d0cb42e5d8233410 https://github.com/mikedh/trimesh/commit/473bbc71fb0d041a7ead17b37e90b3258dcfce4f https://github.com/mikedh/trimesh/commit/309eab9760b4bc3ffc72e42a55fd936a8c201a2f https://github.com/mikedh/trimesh/commit/667f111cc41ee8f6ffac96eece4b4b31f7489e38 https://github.com/mikedh/trimesh/commit/dc8c0d01208bd7fb3c50bb92da445b85fcc370bd https://github.com/mikedh/trimesh/commit/2f6c4f2933fd9611bf8a3f941b92926a41ac2ca4 https://github.com/mikedh/trimesh/commit/601ce36d0f326724691754d3d410b8b968881747 https://github.com/mikedh/trimesh/commit/262aa30bc3065dd0a12fd20c29bd9b28181de86d https://github.com/mikedh/trimesh/commit/c82d29da23c68bab400836f8613bd3f681636c39 https://github.com/mikedh/trimesh/commit/d39cf5bbd3245d4574587c9e767ec353e6de6345 https://github.com/mikedh/trimesh/commit/cc90afcff3a423ff0c6eee70619251dcd28e0783 https://github.com/mikedh/trimesh/commit/01ec51c341302992a5bbaecfe0c6a1b57a9bda49 https://github.com/mikedh/trimesh/commit/ca2a660a1b2cc7358b4c13e604de09a4cadbb2aa https://github.com/mikedh/trimesh/commit/f74c8b60f94f84257ba0885910084c22fdb91f8a https://github.com/mikedh/trimesh/commit/f2385c38544fd0b5891cf49ca5f7dba75cb9fe4a https://github.com/mikedh/trimesh/commit/a61f9dfee1722c5fe27e07f38aaa9a9b62aa0e3d https://github.com/mikedh/trimesh/commit/9084e1200991b632e32dd8e056a1e2322e41a7f8 https://github.com/mikedh/trimesh/commit/45565d9159f7a4b51104b18b8fae5cedf2863832 https://github.com/mikedh/trimesh/commit/9d6521fc103e94333c13a331154e1f6f0eacbc35 https://github.com/mikedh/trimesh/commit/f38fc29fa90a8a4258ed7f9ba6984efb29ea16a0 https://github.com/mikedh/trimesh/commit/73bed1f683201c1b99ccd770f2138b9fcc9df010,2205,https://github.com/mikedh/trimesh/pull/2205,gold/patches/mikedh__trimesh-2205.patch,10,3426,345,5
instructlab__instructlab-615,instructlab/instructlab,discovery,faaf98858135cd8279caede18906d4b36a4b78a9,1143c5967bba74f70d9d2ad01aa87b64a23da33a,2,https://github.com/instructlab/instructlab/commit/dfaf8b21434955e977740069367d69081d562a62 https://github.com/instructlab/instructlab/commit/1143c5967bba74f70d9d2ad01aa87b64a23da33a,615,https://github.com/instructlab/instructlab/pull/615,gold/patches/instructlab__instructlab-615.patch,1,13,11,1
pylint-dev__pylint-9990,pylint-dev/pylint,discovery,537e9da59e7df337fa39897d0b583ce0c12d3ed9,16d14e8c2e1ad0c559b2b81536d265458b26dea4,5,https://github.com/pylint-dev/pylint/commit/50dea18d6fa85e0ca7e2311748f11d2a6c47fd2f https://github.com/pylint-dev/pylint/commit/da91776b3219968cecb759ba9b116fd64823ef3f https://github.com/pylint-dev/pylint/commit/0a88d3f729e7a37c021edcd5a2f55640a19c2573 https://github.com/pylint-dev/pylint/commit/22d2d7dedc4b831120a1ccf1ac623ff4030c37c0 https://github.com/pylint-dev/pylint/commit/16d14e8c2e1ad0c559b2b81536d265458b26dea4,9990,https://github.com/pylint-dev/pylint/pull/9990,gold/patches/pylint-dev__pylint-9990.patch,2,40,31,2
icloud-photos-downloader__icloud_photos_downloader-1061,icloud-photos-downloader/icloud_photos_downloader,pilot,f8987b1933554af5489c2088b1066244abb270b4,dda4c70789a4845e8449620851fb9b2f671668a0,1,https://github.com/icloud-photos-downloader/icloud_photos_downloader/commit/dda4c70789a4845e8449620851fb9b2f671668a0,1061,https://github.com/icloud-photos-downloader/icloud_photos_downloader/pull/1061,gold/patches/icloud-photos-downloader__icloud_photos_downloader-1061.patch,1,8,6,1
jupyterlab__jupyter-ai-1294,jupyterlab/jupyter-ai,discovery,0e2c4e41ffdc4c35132840d97135664843c9fe2a,a63edea79e574859bb1f01d51a5a54fa400d8c40,2,https://github.com/jupyterlab/jupyter-ai/commit/99a2004887a79d745478f78f34739538a1e09312 https://github.com/jupyterlab/jupyter-ai/commit/a63edea79e574859bb1f01d51a5a54fa400d8c40,1294,https://github.com/jupyterlab/jupyter-ai/pull/1294,gold/patches/jupyterlab__jupyter-ai-1294.patch,1,35,3,1
kozea__weasyprint-2398,Kozea/WeasyPrint,discovery,20197135f56dcd886248e671058933c14cdf5f78,57b61982419ab20935be980b5398b434c10a28dd,1,https://github.com/Kozea/WeasyPrint/commit/57b61982419ab20935be980b5398b434c10a28dd,2398,https://github.com/Kozea/WeasyPrint/pull/2398,gold/patches/kozea__weasyprint-2398.patch,1,4,9,1
ipython__ipython-14838,ipython/ipython,held_out,978324813ce6a4a39156c549436b89eb22944038,a31f837723d6379a912c5f409db891cd6dab29b0,15,https://github.com/ipython/ipython/commit/7f12f6de122024fcbe7508d845c618f32a81d67f https://github.com/ipython/ipython/commit/6cd169ddf70fe9584d267b5a6038ea940b873809 https://github.com/ipython/ipython/commit/b6e22d6ef4578cacbbb61d6be1a5c48773d325d4 https://github.com/ipython/ipython/commit/7131c2dd16e9fa370f220c8ff153918ed5be4a2e https://github.com/ipython/ipython/commit/4b28cdf400645257539bcf7d39c013cf1d2a4924 https://github.com/ipython/ipython/commit/3de4fa7ee7896b1a317585f31d96cea0b3c20f8c https://github.com/ipython/ipython/commit/6f9003644af3669fd14961f64efd71a41ffad194 https://github.com/ipython/ipython/commit/1951fc21dc3ba22c63a73253c1b1357c3e2268ca https://github.com/ipython/ipython/commit/db0c8e33fd6f4e835447ad6223d4e26668e4a332 https://github.com/ipython/ipython/commit/b0501184c07e7c5f7621e69be987723372f3b0cb https://github.com/ipython/ipython/commit/033e735fba4ef511e4694477313b5f85f4484ac7 https://github.com/ipython/ipython/commit/0dcc950c95405030f49994ccff6389427288e75c https://github.com/ipython/ipython/commit/44a6b6159a0d74454ddcf7ad2b260856a0b441c6 https://github.com/ipython/ipython/commit/e919491f265613f892a60a4b2a7fba3c21f4e93b https://github.com/ipython/ipython/commit/a31f837723d6379a912c5f409db891cd6dab29b0,14838,https://github.com/ipython/ipython/pull/14838,gold/patches/ipython__ipython-14838.patch,1,155,3,1
pydata__xarray-10141,pydata/xarray,held_out,bb539d8e89fa7601e69fb9dbf849b051c61a3a31,b5a538fe9562659ffea913e8e61d73d16b5a3c32,2,https://github.com/pydata/xarray/commit/abbffea1995ec671a2af558563e46d49c30a9443 https://github.com/pydata/xarray/commit/b5a538fe9562659ffea913e8e61d73d16b5a3c32,10141,https://github.com/pydata/xarray/pull/10141,gold/patches/pydata__xarray-10141.patch,1,1,1,1
python-attrs__attrs-1253,python-attrs/attrs,held_out,82a14627fddbd0b2d802fbc574fa3b1ef010a801,4099d677717c563f77761960d464ba4001553b8c,5,https://github.com/python-attrs/attrs/commit/6647cd5e8a69635774952983c5ffae8975ec1ac7 https://github.com/python-attrs/attrs/commit/17fb4e370987b6b2ba553566abf5ae083309235d https://github.com/python-attrs/attrs/commit/0c342e33254f3063779a267e5e3f1f61d9f3f217 https://github.com/python-attrs/attrs/commit/f5035ec460ac511c6da8c513f5c335a694b3231d https://github.com/python-attrs/attrs/commit/4099d677717c563f77761960d464ba4001553b8c,1253,https://github.com/python-attrs/attrs/pull/1253,gold/patches/python-attrs__attrs-1253.patch,2,7,2,2
jupyterlab__jupyter-ai-879,jupyterlab/jupyter-ai,discovery,4664a0baa2993efb2b0265d41f376dd5c902c6c8,267a8b9a3831942e5875635a010fea913745a927,2,https://github.com/jupyterlab/jupyter-ai/commit/3091dd196da9dc9950496a4d2254e49cfeb0d767 https://github.com/jupyterlab/jupyter-ai/commit/267a8b9a3831942e5875635a010fea913745a927,879,https://github.com/jupyterlab/jupyter-ai/pull/879,gold/patches/jupyterlab__jupyter-ai-879.patch,1,6,11,1
conan-io__conan-17132,conan-io/conan,held_out,d8db468afbac9410d0ba5209ac9c4a58224c3864,eae175087b913053674f34bc10c46da27294676a,3,https://github.com/conan-io/conan/commit/239d28afcc5b179866899b7d5ea7a1f2126653b6 https://github.com/conan-io/conan/commit/901a0910e76cba68d3211d12356adb95e4b18859 https://github.com/conan-io/conan/commit/eae175087b913053674f34bc10c46da27294676a,17132,https://github.com/conan-io/conan/pull/17132,gold/patches/conan-io__conan-17132.patch,4,3,10,1
matplotlib__matplotlib-28073,matplotlib/matplotlib,pilot,f5067c16757f4cd800ae3ba0ac25ff79d2e41a7f,43ce57d8155fd3839967a5f0439bfc22f1b52c18,13,https://github.com/matplotlib/matplotlib/commit/1a6ec0f477892b13aa08e915a9d478e841d55c16 https://github.com/matplotlib/matplotlib/commit/0e52daad459d0f3b1f1238016533ebf4583a3438 https://github.com/matplotlib/matplotlib/commit/34df06a477c7bf05517b92d886d676a35ac33fe2 https://github.com/matplotlib/matplotlib/commit/4fcb70982e45ab9885f829a52d39219ecf428347 https://github.com/matplotlib/matplotlib/commit/347ce221f0b289b2ec577114b29729c844760402 https://github.com/matplotlib/matplotlib/commit/d7ffeaa16c5ee7dc5306adc426bcd2ca4b65e27f https://github.com/matplotlib/matplotlib/commit/9024be4fc848af32b09f7b62e81c1062adab4e45 https://github.com/matplotlib/matplotlib/commit/3bfca5fe17e36798f0f836654319b4f72f67575b https://github.com/matplotlib/matplotlib/commit/6029e32e35dcc2573b3572103d6b9aa73b73399e https://github.com/matplotlib/matplotlib/commit/0349e7d42b6ef256a45f21b769c59a8d786d9aaf https://github.com/matplotlib/matplotlib/commit/d1a80797948cd4bdbd70e04d05b4c183e931d781 https://github.com/matplotlib/matplotlib/commit/9a813f490822c6299e05cb7d37c064480e31f3e4 https://github.com/matplotlib/matplotlib/commit/43ce57d8155fd3839967a5f0439bfc22f1b52c18,28073,https://github.com/matplotlib/matplotlib/pull/28073,gold/patches/matplotlib__matplotlib-28073.patch,3,169,9,3
kedro-org__kedro-3998,kedro-org/kedro,discovery,beaf31382d3d58e4d956d3a82bafee462d31e4ed,de7da036fd4851c5c61dabdec87f258b70d3f360,3,https://github.com/kedro-org/kedro/commit/389f81164354aa658bcfc7c83e9115d9fbda9f0e https://github.com/kedro-org/kedro/commit/d06b13f2b8dfcec2579586a5b6ca5924843309ba https://github.com/kedro-org/kedro/commit/de7da036fd4851c5c61dabdec87f258b70d3f360,3998,https://github.com/kedro-org/kedro/pull/3998,gold/patches/kedro-org__kedro-3998.patch,2,9,8,1
streamlink__streamlink-6452,streamlink/streamlink,discovery,e520a5e531faa5961a260fd38db476008a86d718,ba95d0e9ce7c55446262f49568121f3e9b008515,1,https://github.com/streamlink/streamlink/commit/ba95d0e9ce7c55446262f49568121f3e9b008515,6452,https://github.com/streamlink/streamlink/pull/6452,gold/patches/streamlink__streamlink-6452.patch,1,94,80,1
kedro-org__kedro-3950,kedro-org/kedro,discovery,b6e585f80ace1896e6bd3c31d827a1991ed2c664,d3d4a4146066bec441cf30f2a55c934438201dfd,4,https://github.com/kedro-org/kedro/commit/ea43809fac6b5737ae4b94d10cd056b9ad943cb9 https://github.com/kedro-org/kedro/commit/f03ebe7d20261a6aa90bce511db428fd3ea020d0 https://github.com/kedro-org/kedro/commit/f7d163d5300982897722bf0d211c75dd696e9200 https://github.com/kedro-org/kedro/commit/d3d4a4146066bec441cf30f2a55c934438201dfd,3950,https://github.com/kedro-org/kedro/pull/3950,gold/patches/kedro-org__kedro-3950.patch,2,2,1,2
